#,STATUT,MARCHE FR,VRAIE BRAND ?,PRODUIT,BOUTIQUE,PAYS DE LEURS PUBS (%),x4 SEM.,ADS,COURBE 5 SEMAINES,PRIX,SKU,MARGE x3-x4 ?,A VERIFIER,LE VERDICT,TON VERDICT,TES NOTES,LIEN
64,🔴 BANGER,⬜ a verifier,🔵 OUI,Kollegaboksen,shop.allentertainment.no,SE 100%,6.4,402,61 > 70 > 304 > 363 > 390,490 NOK,5,a calculer,,"🟢 PRIORITE. x6.4 en 4 sem., 402 ads - vraie brand (>=150). Fais le controle FR.",,,https://shop.allentertainment.no
87,🟢 EXPLOSE,⬜ a verifier,🔵 OUI,Leichtkraut,wohlkraut.de,"AT 47%, DE 47%",6.3,432,66 > 160 > 286 > 383 > 415,29.99 EUR,4,a calculer,,"🟢 PRIORITE. x6.3 en 4 sem., 432 ads - vraie brand (>=150). Fais le controle FR.",,,https://wohlkraut.de
15,🔴 BANGER,⬜ a verifier,🔵 OUI,Fargeskiftende foundation,lambrieshop.com,"IT 59%, FR 16%, CZ 15%, SE 10%",6.1,177,29 > 48 > 164 > 147 > 176,380 NOK,3,a calculer,diffuse deja en FR 16% - ouvre leur ad library,🟠 Ils diffusent deja en France. Ouvre leur ad library avant de decider.,,,https://lambrieshop.com
16,🔴 BANGER,🟨 PARTIEL,⬜ non,Postra™,tervi.store,SE 100%,6.1,79,15 > 39 > 58 > 71 > 92,39.99 USD,2,a calculer,,"🟢 PRIORITE. x6.1 en 4 sem., 79 ads, 5 sem. de diffusion - lancement frais (50-149). Fais le controle FR.",,,https://tervi.store
17,🔴 BANGER,⬜ a verifier,⬜ non,Cuscino in Gel Covexia™,covexia.eu,"ES 81%, IT 19%",6,59,9 > 14 > 33 > 54 > 54,39.9 EUR,9,a calculer,,"🟢 PRIORITE. x6.0 en 4 sem., 59 ads, 5 sem. de diffusion - lancement frais (50-149). Fais le controle FR.",,,https://covexia.eu
40,🔴 BANGER,⬜ a verifier,⬜ non,Tactical Blocks DIY Ops Handle Set,tacticalblocks.com,"IT 5%, ES 4%, DE 4%, BE 4%, FR 4%, GR 4%",6,73,10 > 60,39 EUR,12,a calculer,diffuse deja en FR 4% - ouvre leur ad library,🟠 Ils diffusent deja en France. Ouvre leur ad library avant de decider.,,,https://tacticalblocks.com
45,🔴 BANGER,⬜ a verifier,🔵 OUI,The Miswak Co.,miswakco.com,"AU 14%, US 14%, CA 14%, NZ 12%, GB 11%, DE 7%",5.6,311,58 > 92 > 211 > 334 > 322,28 AUD,3,a calculer,diffuse deja en FR 6% - ouvre leur ad library,🟠 Ils diffusent deja en France. Ouvre leur ad library avant de decider.,,,https://miswakco.com
69,🔴 BANGER,⬜ a verifier,⬜ non,Parfém s feromónmi 1+1 ZADARMO - Pheroeli™,pheroeli.sk,SK 100%,5.6,53,7 > 6 > 4 > 9 > 39,24.9 EUR,6,a calculer,,"🟢 PRIORITE. x5.6 en 4 sem., 53 ads - lancement frais (50-149). Fais le controle FR.",,,https://pheroeli.sk
28,🔴 BANGER,⬜ a verifier,⬜ non,Psorelia - Baume réparateur pour l'eczéma et le psoriasis,mypsorelia.com,"CA 9%, FR 9%, BE 8%, PT 6%, ES 6%, LU 6%",5.5,87,14 > 42 > 77,34.99 EUR,2,a calculer,diffuse deja en FR 9% - ouvre leur ad library,🟠 Ils diffusent deja en France. Ouvre leur ad library avant de decider.,,,https://mypsorelia.com
6,🔴 BANGER,⬜ a verifier,🔵 OUI,📦📦LAST DAY SAVE 49% ⏰Effortless Linen-Blend Shift Dress,v8cmtk-f0.myshopify.com,"US 28%, AU 26%, CA 25%, GB 22%",5.4,205,28 > 46 > 220 > 186 > 152,39.99 USD,10,a calculer,,"🟢 PRIORITE. x5.4 en 4 sem., 205 ads - vraie brand (>=150). Fais le controle FR.",,,https://v8cmtk-f0.myshopify.com
